violation_id,city_sk,location_sk,driver_sk,vehicle_sk,time_key,violation_date,violation_time,violation_type,fine_amount,severity,accident_involved,road_type,average_speed,weather_condition,lane_affected,department_status,age_group,time_period,offender_type
V20250521000947,98,809,869,422,507,2025-05-21,10:32:42,Signal Jumping,900,Medium,No,State Highway,62,Clear,Lane 1,Dispatched,26-35,Morning Peak,Repeat
V20250216000948,28,810,870,887,413,2025-02-16,00:38:52,Drunk Driving,4500,High,Yes,National Highway,92,Clear,Lane 1,Active,36-45,Late Night,First Time
V20241006000949,50,811,871,566,280,2024-10-06,02:11:11,Drunk Driving,10000,Critical,No,City Road,44,Cloudy,Lane 1,Dispatched,18-25,Late Night,Habitual
V20240529000950,106,812,872,888,150,2024-05-29,13:22:48,No Helmet,600,Medium,No,City Road,45,Stormy,Lane 1,Notified,36-45,Mid Day,Habitual
V20250705000951,15,813,873,889,552,2025-07-05,18:08:40,Wrong Parking,300,Low,No,Expressway,113,Cloudy,Lane 1,Notified,26-35,Evening Peak,Repeat
V20240201000952,28,55,874,890,32,2024-02-01,09:50:13,Wrong Parking,300,Low,No,Local Street,30,Clear,Multiple Lanes,Active,26-35,Morning Peak,Repeat
V20240625000953,70,814,875,891,177,2024-06-25,07:11:18,Red Light Violation,900,Medium,No,Expressway,80,Clear,Lane 1,Dispatched,18-25,Early Morning,First Time
V20240616000954,29,815,876,892,168,2024-06-16,15:07:09,Overspeeding,1100,High,No,Local Street,33,Foggy,Multiple Lanes,Under Review,18-25,Mid Day,First Time
V20250914000955,58,816,877,893,623,2025-09-14,10:32:09,Wrong Parking,500,Low,No,State Highway,75,Cloudy,Lane 1,Notified,46-55,Morning Peak,Repeat
V20241111000956,109,817,878,876,316,2024-11-11,20:10:03,Overspeeding,700,High,No,State Highway,79,Clear,Lane 1,Notified,36-45,Evening,Repeat
V20250926000957,13,818,879,480,635,2025-09-26,08:34:52,Signal Jumping,900,Medium,No,Expressway,104,Clear,Multiple Lanes,Under Review,18-25,Morning Peak,First Time
V20240402000958,87,819,145,894,93,2024-04-02,15:02:14,Wrong Parking,400,Low,No,City Road,33,Clear,Lane 1,Notified,36-45,Mid Day,First Time
V20250619000959,79,820,880,895,536,2025-06-19,06:25:50,Dangerous Driving,4200,High,No,State Highway,79,Foggy,Multiple Lanes,Notified,26-35,Early Morning,First Time
V20240329000960,24,263,343,896,89,2024-03-29,22:15:31,No Helmet,900,Medium,No,State Highway,80,Cloudy,Lane 1,Notified,26-35,Evening,Repeat
V20251210000961,24,821,467,897,710,2025-12-10,15:33:47,Mobile Usage,1400,High,No,City Road,48,Clear,Lane 1,Notified,36-45,Mid Day,Habitual
V20250904000962,49,527,881,898,613,2025-09-04,14:47:47,Signal Jumping,800,Medium,No,City Road,29,Stormy,Shoulder,Dispatched,26-35,Mid Day,First Time
V20250630000963,30,616,201,899,547,2025-06-30,20:28:07,No Helmet,900,Medium,No,National Highway,76,Stormy,Multiple Lanes,Dispatched,18-25,Evening,First Time
V20250903000964,88,822,882,900,612,2025-09-03,08:27:43,No Helmet,800,Medium,No,City Road,28,Clear,Lane 3,Notified,46-55,Morning Peak,Repeat
V20250802000965,102,332,770,901,580,2025-08-02,18:48:09,Signal Jumping,700,Medium,No,National Highway,91,Clear,Multiple Lanes,Active,36-45,Evening Peak,Repeat
V20241029000966,38,488,746,852,303,2024-10-29,17:02:21,No Helmet,1000,Medium,No,Local Street,34,Rainy,Shoulder,Active,18-25,Evening Peak,First Time
V20250209000967,18,823,883,902,406,2025-02-09,12:09:14,No Helmet,500,Medium,No,City Road,52,Stormy,Lane 2,Active,18-25,Mid Day,First Time
V20251130000968,39,824,884,903,700,2025-11-30,16:14:59,Wrong Side Driving,500,High,No,City Road,32,Clear,Lane 1,Notified,46-55,Mid Day,First Time
V20250819000969,45,255,107,650,597,2025-08-19,10:25:19,Wrong Parking,200,Low,No,National Highway,71,Foggy,Multiple Lanes,Dispatched,36-45,Morning Peak,Repeat
V20240823000970,17,825,885,904,236,2024-08-23,17:52:05,Overspeeding,900,Medium,No,State Highway,115,Cloudy,Multiple Lanes,Active,18-25,Evening Peak,First Time
V20241116000971,34,826,886,905,321,2024-11-16,15:24:20,Overspeeding,800,High,No,Expressway,110,Clear,Lane 1,Under Review,26-35,Mid Day,First Time
V20250620000972,39,374,887,906,537,2025-06-20,13:03:09,Signal Jumping,700,Medium,No,State Highway,80,Cloudy,Lane 3,Notified,26-35,Mid Day,Repeat
V20250121000973,34,89,888,730,387,2025-01-21,04:38:22,No Seatbelt,900,Medium,No,City Road,48,Rainy,Lane 3,Dispatched,26-35,Late Night,First Time
V20250618000974,33,258,889,907,535,2025-06-18,16:07:17,Overspeeding,1200,High,No,Expressway,157,Clear,Lane 3,Active,26-35,Mid Day,First Time
V20250802000975,96,827,890,908,580,2025-08-02,17:07:22,Wrong Parking,200,Low,No,Local Street,23,Clear,Lane 2,Active,26-35,Evening Peak,First Time
V20240227000976,19,697,891,909,58,2024-02-27,20:55:17,Overspeeding,600,High,No,City Road,58,Clear,Lane 3,Active,26-35,Evening,Repeat
V20240705000977,23,828,466,910,187,2024-07-05,19:11:30,No License,4200,High,No,City Road,35,Foggy,Lane 2,Under Review,26-35,Evening Peak,Repeat
V20240325000978,94,829,892,911,85,2024-03-25,13:53:44,Overspeeding,1000,High,No,City Road,66,Clear,Lane 1,Active,18-25,Mid Day,Habitual
V20250207000979,19,830,893,912,404,2025-02-07,09:13:39,Triple Riding,700,Medium,No,National Highway,99,Cloudy,Lane 1,Active,56-65,Morning Peak,Repeat
V20250428000980,75,831,894,913,484,2025-04-28,13:08:38,Wrong Parking,300,Low,No,Expressway,102,Rainy,Multiple Lanes,Active,36-45,Mid Day,First Time
V20240611000981,16,832,895,357,163,2024-06-11,13:29:19,Signal Jumping,500,Medium,No,City Road,55,Cloudy,Lane 1,Dispatched,18-25,Mid Day,First Time
V20240712000982,74,833,586,914,194,2024-07-12,08:29:37,Overspeeding,800,Medium,No,City Road,34,Foggy,Shoulder,Under Review,18-25,Morning Peak,Repeat
V20240822000983,58,180,896,915,235,2024-08-22,20:54:31,No License,3700,High,No,City Road,52,Clear,Shoulder,Active,18-25,Evening,Repeat
V20250828000984,101,824,897,916,606,2025-08-28,20:39:19,Overspeeding,1500,High,Yes,City Road,72,Foggy,Multiple Lanes,Dispatched,65+,Evening,Repeat
V20241106000985,26,565,898,917,311,2024-11-06,07:13:45,No Seatbelt,600,Medium,Yes,City Road,36,Clear,Multiple Lanes,Active,26-35,Early Morning,Repeat
V20250309000986,101,834,90,918,434,2025-03-09,23:57:53,Overspeeding,900,Medium,No,Expressway,157,Rainy,Lane 1,Dispatched,36-45,Late Night,First Time
V20240324000987,49,835,899,919,84,2024-03-24,13:33:09,Wrong Parking,400,Low,No,Local Street,30,Cloudy,Lane 2,Active,26-35,Mid Day,First Time
V20240114000988,99,836,839,920,14,2024-01-14,20:29:15,Wrong Parking,200,Low,No,City Road,31,Cloudy,Lane 2,Active,26-35,Evening,Repeat
V20241024000989,33,837,900,921,298,2024-10-24,17:37:37,Triple Riding,500,Medium,Yes,City Road,42,Rainy,Lane 1,Dispatched,26-35,Evening Peak,Habitual
V20240312000990,104,838,901,922,72,2024-03-12,15:53:32,Mobile Usage,4100,Medium,No,State Highway,74,Rainy,Lane 2,Active,26-35,Mid Day,Repeat
V20240617000991,62,486,902,923,169,2024-06-17,17:45:29,Triple Riding,700,Medium,No,State Highway,75,Clear,Lane 3,Notified,26-35,Evening Peak,Repeat
V20241215000992,78,839,903,924,350,2024-12-15,20:09:37,Mobile Usage,1500,Medium,Yes,National Highway,77,Cloudy,Lane 1,Dispatched,18-25,Evening,Repeat
V20250814000993,96,840,904,925,592,2025-08-14,13:36:33,No Seatbelt,800,Medium,No,City Road,49,Rainy,Lane 2,Notified,26-35,Mid Day,First Time
V20241224000994,83,841,905,732,359,2024-12-24,16:00:02,Mobile Usage,4100,Medium,No,State Highway,62,Clear,Lane 3,Notified,18-25,Mid Day,First Time
V20250709000995,35,842,906,926,556,2025-07-09,13:20:04,No Helmet,900,Medium,No,National Highway,84,Rainy,Multiple Lanes,Active,26-35,Mid Day,Repeat
V20251031000996,87,763,907,927,670,2025-10-31,15:43:35,No Helmet,600,Medium,Yes,City Road,29,Cloudy,Multiple Lanes,Notified,18-25,Mid Day,Repeat
V20240831000997,103,843,908,928,244,2024-08-31,01:08:35,Mobile Usage,3900,Medium,No,National Highway,66,Rainy,Lane 1,Active,36-45,Late Night,Repeat
V20250623000998,109,844,909,929,540,2025-06-23,23:27:02,No Seatbelt,1000,Medium,No,Expressway,108,Clear,Lane 2,Active,36-45,Late Night,Habitual
V20240322000999,38,845,910,930,82,2024-03-22,10:16:06,No Seatbelt,800,Low,No,City Road,45,Rainy,Lane 2,Under Review,56-65,Morning Peak,First Time
V20250212001000,14,846,911,931,409,2025-02-12,14:17:03,Mobile Usage,1800,High,No,National Highway,97,Foggy,Lane 3,Active,36-45,Mid Day,First Time
V20240120001001,65,847,912,932,20,2024-01-20,08:22:36,Dangerous Driving,1100,High,No,State Highway,73,Cloudy,Lane 1,Dispatched,65+,Morning Peak,Repeat
V20240327001002,78,848,132,933,87,2024-03-27,10:16:37,Drunk Driving,4600,High,No,Local Street,27,Rainy,Lane 3,Dispatched,18-25,Morning Peak,Repeat
V20240702001003,23,568,913,934,184,2024-07-02,21:54:39,No Seatbelt,900,Low,No,State Highway,77,Clear,Multiple Lanes,Active,18-25,Evening,First Time
V20250701001004,90,849,914,843,548,2025-07-01,13:39:39,Mobile Usage,1900,Medium,No,Local Street,22,Clear,Lane 1,Active,18-25,Mid Day,First Time
V20240809001005,89,850,915,935,222,2024-08-09,18:37:55,Wrong Parking,400,Low,No,Local Street,31,Stormy,Lane 2,Active,46-55,Evening Peak,Repeat
V20250617001006,62,851,916,936,534,2025-06-17,09:36:29,No Helmet,600,Medium,No,City Road,48,Clear,Multiple Lanes,Active,46-55,Morning Peak,Repeat
V20240108001007,85,30,917,937,8,2024-01-08,19:53:57,No Seatbelt,1000,Medium,Yes,State Highway,64,Cloudy,Lane 2,Notified,46-55,Evening Peak,Repeat
V20240507001008,55,852,918,938,128,2024-05-07,16:20:05,Signal Jumping,800,Medium,No,Local Street,16,Stormy,Lane 2,Notified,26-35,Mid Day,Repeat
V20251128001009,32,51,843,939,698,2025-11-28,18:53:56,No Helmet,800,Medium,No,State Highway,64,Foggy,Shoulder,Notified,18-25,Evening Peak,First Time
V20251203001010,106,853,107,940,703,2025-12-03,08:33:51,Overspeeding,900,High,Yes,Expressway,155,Foggy,Multiple Lanes,Active,36-45,Morning Peak,Repeat
V20241221001011,28,142,425,941,356,2024-12-21,06:08:45,No Seatbelt,900,Medium,Yes,City Road,46,Rainy,Lane 1,Active,56-65,Early Morning,Habitual
V20250606001012,3,854,919,942,523,2025-06-06,20:50:30,No License,4500,High,No,State Highway,59,Clear,Lane 2,Active,36-45,Evening,Repeat
V20250113001013,36,651,920,943,379,2025-01-13,02:23:29,Drunk Driving,8800,High,No,State Highway,55,Clear,Multiple Lanes,Active,26-35,Late Night,First Time
V20241229001014,12,855,921,944,364,2024-12-29,08:53:42,Wrong Parking,500,Low,No,National Highway,63,Cloudy,Lane 2,Active,56-65,Morning Peak,Repeat
V20250619001015,52,856,749,945,536,2025-06-19,23:53:48,Drunk Driving,7200,High,No,City Road,33,Clear,Shoulder,Active,36-45,Late Night,First Time
V20250717001016,35,857,922,946,564,2025-07-17,06:03:19,Overspeeding,1800,High,No,National Highway,128,Rainy,Lane 1,Under Review,46-55,Early Morning,First Time
V20251208001017,87,858,923,923,708,2025-12-08,09:54:59,Wrong Parking,400,Low,No,City Road,41,Cloudy,Lane 2,Under Review,18-25,Morning Peak,Repeat
V20250222001018,4,859,924,947,419,2025-02-22,16:06:59,Overspeeding,600,High,No,City Road,32,Cloudy,Lane 3,Active,36-45,Mid Day,Repeat
V20250514001019,50,860,925,948,500,2025-05-14,18:55:52,No Helmet,600,Medium,No,National Highway,100,Cloudy,Lane 1,Active,36-45,Evening Peak,First Time
V20250206001020,41,861,926,351,403,2025-02-06,07:19:57,Wrong Parking,300,Low,Yes,National Highway,76,Clear,Lane 1,Under Review,18-25,Early Morning,First Time
V20250524001021,91,862,927,949,510,2025-05-24,22:11:01,Overspeeding,900,High,No,National Highway,79,Clear,Lane 1,Dispatched,26-35,Evening,First Time
V20250214001022,9,222,928,950,411,2025-02-14,10:24:34,No Helmet,600,Medium,No,City Road,42,Cloudy,Lane 3,Under Review,26-35,Morning Peak,Repeat
V20241227001023,77,89,929,951,362,2024-12-27,18:35:05,No Seatbelt,800,Medium,Yes,National Highway,80,Rainy,Lane 1,Active,18-25,Evening Peak,First Time
V20241031001024,74,863,930,952,305,2024-10-31,08:29:22,No Helmet,600,Medium,No,City Road,45,Foggy,Lane 1,Active,65+,Morning Peak,First Time
V20250709001025,76,864,931,953,556,2025-07-09,08:55:19,Mobile Usage,4100,High,No,City Road,34,Clear,Multiple Lanes,Active,26-35,Morning Peak,Repeat
V20240721001026,33,356,932,954,203,2024-07-21,19:11:48,No License,4300,High,No,City Road,54,Clear,Lane 1,Notified,26-35,Evening Peak,Habitual
V20240923001027,3,693,933,955,267,2024-09-23,09:22:22,No Helmet,800,Medium,No,Local Street,34,Clear,Lane 1,Under Review,26-35,Morning Peak,Repeat
V20250320001028,5,865,934,646,445,2025-03-20,07:02:06,No License,4600,High,No,State Highway,59,Clear,Lane 2,Notified,18-25,Early Morning,Repeat
V20241209001029,1,411,935,956,344,2024-12-09,21:53:08,Wrong Parking,300,Low,No,Local Street,23,Foggy,Multiple Lanes,Dispatched,26-35,Evening,Habitual
V20251225001030,51,866,936,957,725,2025-12-25,06:40:27,Triple Riding,500,Medium,No,Local Street,18,Clear,Lane 3,Notified,26-35,Early Morning,First Time
V20240510001031,54,465,937,958,131,2024-05-10,13:07:03,Wrong Parking,500,Low,No,Local Street,28,Clear,Lane 2,Active,36-45,Mid Day,Repeat
V20250308001032,89,867,938,959,433,2025-03-08,18:49:09,No License,3300,High,No,State Highway,52,Cloudy,Lane 1,Notified,36-45,Evening Peak,First Time
V20240725001033,46,868,939,960,207,2024-07-25,17:12:44,Overspeeding,1000,Medium,Yes,Expressway,116,Clear,Lane 1,Active,36-45,Evening Peak,First Time
V20240615001034,14,869,940,87,167,2024-06-15,18:11:03,Wrong Side Driving,1700,High,No,Local Street,34,Clear,Lane 3,Active,18-25,Evening Peak,First Time
V20251230001035,39,870,941,961,730,2025-12-30,09:01:22,Wrong Side Driving,1600,High,No,City Road,51,Clear,Multiple Lanes,Dispatched,26-35,Morning Peak,First Time
V20250906001036,45,871,942,962,615,2025-09-06,18:13:12,Overspeeding,1300,High,No,Local Street,19,Stormy,Lane 1,Notified,26-35,Evening Peak,Repeat
V20241025001037,5,422,17,963,299,2024-10-25,21:31:30,No Seatbelt,800,Low,No,City Road,40,Clear,Lane 1,Dispatched,26-35,Evening,First Time
V20241010001038,60,872,943,964,284,2024-10-10,09:42:24,Mobile Usage,4600,High,No,National Highway,65,Rainy,Lane 1,Dispatched,18-25,Morning Peak,Repeat
V20240223001039,16,873,944,965,54,2024-02-23,20:28:04,Overspeeding,600,Medium,No,National Highway,129,Clear,Multiple Lanes,Notified,26-35,Evening,First Time
V20250924001040,87,874,945,966,633,2025-09-24,17:18:45,Signal Jumping,800,Medium,No,City Road,25,Clear,Lane 1,Dispatched,26-35,Evening Peak,First Time
V20240202001041,40,875,946,967,33,2024-02-02,17:43:43,Dangerous Driving,1800,High,No,Expressway,84,Cloudy,Lane 3,Active,18-25,Evening Peak,First Time
V20250428001042,60,876,947,968,484,2025-04-28,11:02:09,Wrong Parking,300,Low,No,City Road,53,Foggy,Multiple Lanes,Under Review,26-35,Mid Day,Habitual
V20250614001043,87,877,948,969,531,2025-06-14,14:28:37,Drunk Driving,8100,High,No,Local Street,39,Rainy,Shoulder,Dispatched,26-35,Mid Day,First Time
V20251019001044,53,154,949,970,658,2025-10-19,10:54:44,Overspeeding,2000,High,No,Local Street,55,Clear,Lane 2,Notified,26-35,Morning Peak,Repeat
V20251229001045,81,878,535,971,729,2025-12-29,08:38:54,Overspeeding,700,Medium,No,City Road,71,Clear,Lane 1,Active,26-35,Morning Peak,Repeat
V20250507001046,106,879,950,972,493,2025-05-07,07:57:38,No Helmet,700,Medium,No,City Road,55,Cloudy,Lane 1,Active,36-45,Early Morning,Repeat
V20250510001047,105,880,951,973,496,2025-05-10,15:28:38,Mobile Usage,3400,Medium,No,City Road,47,Foggy,Lane 3,Dispatched,18-25,Mid Day,First Time
V20250303001048,21,881,952,974,428,2025-03-03,14:34:09,Wrong Side Driving,1500,High,No,Local Street,17,Rainy,Lane 2,Notified,18-25,Mid Day,Repeat
V20240701001049,55,882,953,975,183,2024-07-01,14:16:20,No License,4400,High,No,City Road,33,Clear,Lane 2,Active,26-35,Mid Day,Repeat
V20250306001050,106,883,954,976,431,2025-03-06,09:21:59,Overspeeding,1000,Medium,No,City Road,77,Clear,Lane 2,Dispatched,18-25,Morning Peak,First Time
V20250827001051,90,401,955,977,605,2025-08-27,21:46:25,Drunk Driving,8500,Critical,No,Local Street,32,Clear,Multiple Lanes,Notified,36-45,Evening,First Time
V20250829001052,101,884,956,978,607,2025-08-29,12:17:29,Signal Jumping,700,Medium,No,City Road,46,Cloudy,Multiple Lanes,Active,36-45,Mid Day,First Time
V20240822001053,39,39,957,979,235,2024-08-22,09:03:18,Mobile Usage,2000,High,No,Local Street,28,Clear,Lane 1,Active,18-25,Morning Peak,First Time
V20250607001054,45,885,958,980,524,2025-06-07,08:49:59,Overspeeding,1900,Medium,No,State Highway,95,Clear,Lane 1,Dispatched,36-45,Morning Peak,Repeat
V20251203001055,3,886,959,785,703,2025-12-03,12:08:24,No Helmet,900,Medium,No,City Road,40,Clear,Lane 2,Active,18-25,Mid Day,First Time
V20250618001056,36,887,960,502,535,2025-06-18,08:48:55,Drunk Driving,6500,Critical,Yes,State Highway,77,Clear,Lane 3,Active,36-45,Morning Peak,First Time
V20241001001057,4,888,961,981,275,2024-10-01,10:06:36,Overspeeding,600,Medium,No,Expressway,118,Cloudy,Lane 2,Active,26-35,Morning Peak,Repeat
V20250128001058,75,889,611,982,394,2025-01-28,03:40:48,Drunk Driving,3800,High,No,Expressway,94,Foggy,Multiple Lanes,Notified,18-25,Late Night,Habitual
V20240121001059,83,467,483,983,21,2024-01-21,17:24:14,Wrong Parking,200,Low,No,Expressway,95,Clear,Lane 3,Dispatched,18-25,Evening Peak,First Time
V20240503001060,42,890,962,984,124,2024-05-03,18:49:36,Overspeeding,900,High,No,Local Street,25,Rainy,Lane 1,Active,36-45,Evening Peak,Repeat
V20250522001061,68,891,963,985,508,2025-05-22,08:29:20,Signal Jumping,800,Medium,No,State Highway,68,Cloudy,Multiple Lanes,Active,18-25,Morning Peak,First Time
V20241030001062,86,892,964,986,304,2024-10-30,08:44:19,Dangerous Driving,2600,Critical,No,City Road,41,Clear,Lane 3,Dispatched,26-35,Morning Peak,First Time
V20251011001063,88,893,965,987,650,2025-10-11,17:55:28,Drunk Driving,10000,High,No,City Road,27,Rainy,Shoulder,Dispatched,46-55,Evening Peak,First Time
V20241109001064,59,894,966,988,314,2024-11-09,09:07:24,Drunk Driving,2200,Critical,No,Local Street,38,Clear,Lane 1,Active,36-45,Morning Peak,Repeat
V20240326001065,7,895,425,989,86,2024-03-26,17:07:47,No Seatbelt,500,Medium,No,City Road,37,Clear,Lane 1,Notified,18-25,Evening Peak,First Time
V20251115001066,18,896,967,559,685,2025-11-15,17:57:14,Overspeeding,2000,Medium,No,Expressway,119,Clear,Multiple Lanes,Under Review,26-35,Evening Peak,First Time
V20240423001067,61,349,968,990,114,2024-04-23,07:18:14,No Helmet,800,Medium,No,State Highway,59,Stormy,Lane 2,Dispatched,26-35,Early Morning,Repeat
V20241111001068,70,289,969,991,316,2024-11-11,09:39:53,Drunk Driving,9300,High,No,Local Street,25,Rainy,Lane 1,Dispatched,18-25,Morning Peak,Habitual
V20250529001069,39,897,970,992,515,2025-05-29,17:14:04,Wrong Parking,400,Low,No,State Highway,60,Clear,Lane 2,Notified,65+,Evening Peak,Repeat
V20251022001070,34,898,34,993,661,2025-10-22,22:05:00,Mobile Usage,1800,High,No,City Road,28,Clear,Lane 1,Dispatched,36-45,Evening,Repeat
V20240614001071,22,899,971,994,166,2024-06-14,19:58:55,No License,4700,High,No,Expressway,87,Cloudy,Lane 1,Active,18-25,Evening Peak,First Time
V20250307001072,81,139,972,995,432,2025-03-07,17:39:11,Wrong Side Driving,1000,High,No,City Road,26,Clear,Lane 2,Dispatched,26-35,Evening Peak,Repeat
V20250110001073,86,900,973,996,376,2025-01-10,00:01:37,Drunk Driving,7400,Critical,No,City Road,51,Clear,Lane 1,Active,18-25,Late Night,Repeat
V20240304001074,92,239,251,74,64,2024-03-04,17:39:29,No Seatbelt,700,Medium,No,City Road,41,Cloudy,Lane 2,Notified,26-35,Evening Peak,First Time
V20241120001075,58,334,974,997,325,2024-11-20,20:38:24,Drunk Driving,3900,Critical,Yes,State Highway,54,Clear,Lane 2,Active,46-55,Evening,Repeat
V20240728001076,40,901,975,998,210,2024-07-28,08:26:41,Drunk Driving,2500,Critical,No,City Road,44,Stormy,Lane 3,Active,36-45,Morning Peak,First Time
V20240727001077,98,902,976,999,209,2024-07-27,17:01:20,Mobile Usage,4400,Medium,Yes,City Road,28,Clear,Multiple Lanes,Active,18-25,Evening Peak,Repeat
V20251116001078,28,518,332,1000,686,2025-11-16,19:32:56,No Helmet,900,Medium,No,City Road,36,Foggy,Lane 1,Notified,18-25,Evening Peak,Repeat
V20241014001079,59,903,977,1001,288,2024-10-14,13:49:41,Signal Jumping,800,Medium,No,State Highway,61,Rainy,Lane 3,Active,46-55,Mid Day,Repeat
V20250227001080,6,173,978,1002,424,2025-02-27,09:37:03,No Seatbelt,800,Low,No,Expressway,95,Cloudy,Lane 1,Dispatched,18-25,Morning Peak,Repeat
V20250804001081,6,764,979,1003,582,2025-08-04,08:44:47,Wrong Parking,400,Low,No,State Highway,51,Cloudy,Lane 1,Under Review,26-35,Morning Peak,First Time
V20250610001082,35,904,980,1004,527,2025-06-10,13:36:05,Mobile Usage,4500,High,Yes,City Road,29,Stormy,Lane 1,Active,18-25,Mid Day,Repeat
V20240414001083,100,905,374,1005,105,2024-04-14,07:46:29,Drunk Driving,2100,Critical,No,Local Street,28,Clear,Lane 2,Dispatched,18-25,Early Morning,Repeat
V20240430001084,55,906,307,1006,121,2024-04-30,16:03:02,No Helmet,700,Medium,No,City Road,30,Stormy,Lane 1,Dispatched,26-35,Mid Day,Repeat
V20251027001085,107,907,52,1007,666,2025-10-27,15:51:04,Overspeeding,700,High,No,City Road,35,Clear,Lane 2,Notified,18-25,Mid Day,Repeat
V20250609001086,8,908,981,1008,526,2025-06-09,17:06:12,Overspeeding,2000,High,No,City Road,76,Clear,Multiple Lanes,Active,36-45,Evening Peak,First Time
V20250627001087,71,909,390,1009,544,2025-06-27,16:41:10,No License,2400,High,No,Local Street,27,Cloudy,Lane 3,Under Review,36-45,Mid Day,Repeat
V20240628001088,16,910,982,1010,180,2024-06-28,08:07:31,Wrong Parking,200,Low,No,State Highway,73,Cloudy,Lane 1,Active,65+,Morning Peak,Repeat
V20240115001089,37,876,30,1011,15,2024-01-15,10:27:10,Signal Jumping,600,Medium,No,City Road,32,Clear,Multiple Lanes,Active,36-45,Morning Peak,Repeat
V20250212001090,22,911,256,624,409,2025-02-12,17:01:43,Wrong Parking,200,Low,No,City Road,41,Rainy,Lane 1,Active,26-35,Evening Peak,First Time
V20240624001091,92,242,983,1012,176,2024-06-24,15:34:54,No Seatbelt,800,Low,No,City Road,37,Clear,Multiple Lanes,Active,18-25,Mid Day,Repeat
V20240113001092,21,912,984,1013,13,2024-01-13,06:33:44,Triple Riding,600,Medium,No,City Road,39,Clear,Lane 1,Under Review,26-35,Early Morning,First Time
V20240414001093,81,913,985,1014,105,2024-04-14,08:00:31,Overspeeding,1800,High,No,City Road,47,Rainy,Multiple Lanes,Active,36-45,Morning Peak,Repeat
V20251018001094,20,914,986,1015,657,2025-10-18,14:31:46,Overspeeding,700,High,No,City Road,77,Rainy,Lane 1,Notified,18-25,Mid Day,First Time
V20240126001095,21,915,846,1016,26,2024-01-26,20:26:24,Wrong Side Driving,800,High,No,State Highway,51,Clear,Lane 2,Notified,36-45,Evening,Repeat
V20240115001096,106,916,987,1017,15,2024-01-15,08:43:51,Overspeeding,700,Medium,No,Local Street,23,Foggy,Lane 2,Under Review,18-25,Morning Peak,Repeat
V20250109001097,98,917,299,1018,375,2025-01-09,08:13:21,No Helmet,600,Medium,No,Expressway,111,Clear,Lane 3,Dispatched,65+,Morning Peak,Repeat
V20250428001098,54,396,988,1019,484,2025-04-28,15:41:02,Drunk Driving,9200,High,No,Local Street,21,Clear,Lane 1,Active,18-25,Mid Day,Repeat
V20250831001099,24,92,989,1020,609,2025-08-31,19:04:42,Overspeeding,600,Medium,No,Local Street,59,Clear,Multiple Lanes,Under Review,26-35,Evening Peak,Repeat
V20240320001100,105,918,218,1021,80,2024-03-20,13:37:21,Signal Jumping,600,Medium,No,Local Street,28,Clear,Lane 1,Active,18-25,Mid Day,First Time
V20250504001101,23,919,990,1022,490,2025-05-04,20:48:14,No Helmet,700,Medium,No,National Highway,66,Clear,Lane 2,Under Review,46-55,Evening,Repeat
V20250614001102,95,920,991,1023,531,2025-06-14,18:44:20,Signal Jumping,1000,Medium,No,City Road,48,Foggy,Lane 1,Active,26-35,Evening Peak,First Time
V20251202001103,35,818,992,1024,702,2025-12-02,08:43:39,No License,4900,High,No,State Highway,56,Clear,Lane 2,Notified,26-35,Morning Peak,First Time
V20240411001104,7,12,575,1025,102,2024-04-11,14:45:30,Triple Riding,800,Medium,No,City Road,55,Stormy,Lane 1,Under Review,46-55,Mid Day,Repeat
V20240301001105,110,921,993,1026,61,2024-03-01,11:28:35,No Helmet,600,Medium,No,National Highway,64,Foggy,Lane 1,Notified,46-55,Mid Day,Repeat
V20251114001106,108,922,994,1027,684,2025-11-14,12:01:52,Wrong Parking,300,Low,No,City Road,29,Rainy,Lane 1,Dispatched,18-25,Mid Day,First Time
V20250710001107,37,603,995,1028,557,2025-07-10,08:26:27,Overspeeding,1600,Medium,No,City Road,72,Cloudy,Lane 1,Notified,26-35,Morning Peak,First Time
V20250816001108,39,923,996,1029,594,2025-08-16,08:16:59,Signal Jumping,700,Medium,No,City Road,31,Clear,Lane 1,Notified,26-35,Morning Peak,First Time
V20250925001109,100,924,997,1030,634,2025-09-25,18:11:23,Overspeeding,800,High,No,National Highway,150,Clear,Multiple Lanes,Dispatched,36-45,Evening Peak,First Time
V20240825001110,38,925,998,1031,238,2024-08-25,18:31:00,Mobile Usage,3900,Medium,No,Expressway,75,Clear,Lane 1,Notified,26-35,Evening Peak,First Time
V20241127001111,90,926,592,1032,332,2024-11-27,18:35:29,Triple Riding,600,Medium,No,National Highway,66,Clear,Lane 3,Active,36-45,Evening Peak,Repeat
V20250102001112,32,927,506,1033,368,2025-01-02,14:53:49,Overspeeding,800,High,No,Expressway,175,Clear,Lane 2,Notified,36-45,Mid Day,Repeat
V20241109001113,103,928,593,1034,314,2024-11-09,07:46:03,Overspeeding,2000,Medium,No,Local Street,24,Clear,Lane 2,Active,26-35,Early Morning,First Time
V20251130001114,59,690,163,1035,700,2025-11-30,16:24:46,Red Light Violation,900,Medium,No,City Road,33,Clear,Lane 1,Active,36-45,Mid Day,First Time
V20250213001115,48,929,518,1036,410,2025-02-13,11:39:04,Red Light Violation,800,Medium,No,National Highway,95,Rainy,Shoulder,Dispatched,36-45,Mid Day,First Time
